"y","X1","X2"
"A",6,2.5
"A",5.1,1.9
"A",5.9,2.1
"A",5.6,1.8
"A",5.8,2.2
"A",6.6,2.1
"A",4.5,1.7
"A",6.3,1.8
"A",5.8,1.8
"A",6.1,2.5
"A",5.1,2
"A",5.3,1.9
"A",5.5,2.1
"A",5,2
"A",5.1,2.4
"A",5.3,2.3
"A",5.5,1.8
"A",6.7,2.2
"A",6.9,2.3
"A",5,1.5
"A",5.7,2.3
"A",4.9,2
"A",6.7,2
"A",4.9,1.8
"A",5.7,2.1
"A",6,1.8
"A",4.8,1.8
"A",5.6,2.1
"A",5.8,1.6
"A",6.1,1.9
"A",6.4,2
"A",5.6,2.2
"A",5.6,1.4
"A",6.1,2.3
"A",5.6,2.4
"A",4.8,1.9
"A",5.4,2.1
"A",5.1,2.3
"A",5.9,2.3
"A",5.7,2.5
"A",5.2,2.3
"A",5,1.9
"A",5.2,2
"A",5.4,2.3
"A",5.1,1.8
"B",4.7,1.4
"B",4.5,1.5
"B",4.9,1.5
"B",4,1.3
"B",4.6,1.5
"B",4.5,1.3
"B",4.7,1.6
"B",3.3,1
"B",4.6,1.3
"B",3.9,1.4
"B",3.5,1
"B",4.2,1.5
"B",4,1
"B",3.6,1.3
"B",4.4,1.4
"B",4.1,1
"B",3.9,1.1
"B",4.8,1.7
"B",4.7,1.2
"B",4.3,1.3
"B",4.8,1.4
"B",5,1.7
"B",3.8,1.1
"B",3.7,1
"B",3.9,1.2
"B",5.1,1.6
"B",4.5,1.6
"B",4.7,1.5
"B",4.4,1.3
"B",4.1,1.3
"B",4.4,1.2
"B",4.6,1.4
"B",4,1.2
"B",4.2,1.3
"B",4.2,1.2
"B",3,1.1
